word,upos
wšě,DET
nastawki,NOUN
nastawk,NOUN
w,ADP
tutym,DET
tutón,DET
kapitlu,NOUN
kapitl,NOUN
maja,VERB
měć,VERB
markěrowanje,NOUN
přez,ADP
předłohu,NOUN
předłoha,NOUN
ekscelentny,ADJ
biologija,NOUN
je,AUX
być,AUX
wědomostny,ADJ
wobłuk,NOUN
kotryž,DET
analyzuje,VERB
analyzować,VERB
žiwy,ADJ
swět,NOUN
pod,ADP
biologiju,NOUN
móžemy,VERB
móc,NOUN
dać,VERB
dalše,ADJ
dalši,ADJ
wědomosće,NOUN
wědomosć,NOUN
to,PRON
napřikład,ADV
molekularna,ADJ
molekularny,ADJ
biochemija,NOUN
genetika,NOUN
bańkowa,ADJ
bańkowy,ADJ
fyziologija,NOUN
anatomija,NOUN
wuvojowa,ADJ
wuvojowy,ADJ
ewoluciska,ADJ
ewoluciski,ADJ
etologija,NOUN
ekologija,NOUN
systematika,NOUN
botanika,NOUN
coologija,NOUN
mykologija,NOUN
mikrobiologija,NOUN
morfologija,NOUN
bionika,NOUN
lěkařske,ADJ
lěkařski,ADJ
discipliny,NOUN
disciplina,NOUN
wirologija,NOUN
a,CCONJ
mnoho,DET
dalšich,ADJ
specializowanych,NOUN
specializowany,NOUN
wědomostnych,ADJ
disciplin,NOUN
bazalne,ADJ
bazalny,ADJ
ćělesa,NOUN
ćěleso,NOUN
šwikacych,ADJ
šwikacy,ADJ
prućikow,NOUN
prućik,NOUN
wobsedźa,VERB
wobsedźeć,VERB
charakteristisku,ADJ
charakteristiski,ADJ
wjeleworštowu,ADJ
wjeleworštowy,ADJ
strukturu,NOUN
struktura,NOUN
z,ADP
mikrotubulijow,NOUN
mikrotubulij,NOUN
ale,CCONJ
tež,ADV
zakótwjenje,NOUN
cytoskeleće,NOUN
cytoskelet,NOUN
mitoza,NOUN
wotewrjena,ADJ
wotewrjeny,ADJ
za,ADP
čas,NOUN
dźělenja,NOUN
dźělenje,NOUN
bańkow,NOUN
bańka,NOUN
so,PRON
fragmoplast,NOUN
twori,VERB
tworić,VERB
pyrenoidy,NOUN
pyrenoid,NOUN
zwjetša,ADV
faluja,VERB
falować,VERB
hriby,NOUN
hrib,NOUN
su,VERB
žiwe,ADJ
wottwar,NOUN
žiwych,ADJ
nježiwych,ADJ
rostlinow,NOUN
rostlina,NOUN
symbiozu,NOUN
symbioz,NOUN
rostlinami,NOUN
mykorica,NOUN
abo,CCONJ
jako,SCONJ
parazity,NOUN
parazit,NOUN
mezopotamiskej,PROPN
mezopotamiska,PROPN
mjezyrěčina,PROPN
geografisce,ADV
dźensniše,ADJ
dźensniši,ADJ
kónčiny,NOUN
kónčina,NOUN
iraka,PROPN
irak,PROPN
sewjerowuchodneje,ADJ
sewjerowuchodny,ADJ
syriskeje,PROPN
syriska,PROPN
kaž,SCONJ
južnowuchodneje,ADJ
južnowuchodny,ADJ
turkowskeje,PROPN
turkowska,PROPN
definowane,ADJ
definowany,ADJ
přirodne,ADJ
přirodny,ADJ
mjezy,ADP
mjez,ADP
wuchodne,ADV
dólne,ADJ
dólny,ADJ
nakromne,ADJ
nakromny,ADJ
horinow,NOUN
horina,NOUN
zagros,PROPN
taurus,PROPN
pobrjóžna,ADJ
pobrjóžny,ADJ
persiskeho,ADJ
persiski,ADJ
golfa,NOUN
golf,NOUN
započinaca,ADJ
započinacy,ADJ
syrisko,ADJ
syriski,ADJ
arabska,ADJ
arabski,ADJ
pusćina,NOUN
žórłowe,ADJ
žórłowy,ADJ
regiony,NOUN
region,NOUN
eufrata,PROPN
eufrat,PROPN
tigrisa,PROPN
tigris,PROPN
pak,CCONJ
k,ADP
njesłušachu,VERB
słušać,VERB
kóncom,NOUN
kónc,NOUN
nowowbabylonskeho,ADJ
nowowbabylonski,ADJ
mócnarstwa,NOUN
mócnarstwo,NOUN
historiske,ADJ
historiski,ADJ
stawizniske,ADJ
stawizniski,ADJ
zapřijeće,NOUN
slědowace,ADJ
slědowacy,ADJ
epochi,NOUN
epocha,NOUN
jich,DET
nowymi,ADJ
nowy,ADJ
politiskimi,ADJ
politiski,ADJ
statnymi,ADJ
statny,ADJ
wutworami,NOUN
wutwor,NOUN
tohodla,ADV
mjeno,NOUN
njesłuša,VERB
słušeć,VERB
serbski,ADJ
institut,NOUN
sorbisches,X
budyšinje,PROPN
budyšin,PROPN
přepytuje,VERB
přepytować,VERB
rěč,NOUN
stawizny,NOUN
stawizna,NOUN
kulturu,NOUN
kultura,NOUN
serbow,PROPN
serb,PROPN
hornjej,ADJ
horni,ADJ
delnjej,ADJ
delni,ADJ
łužicy,PROPN
łužica,PROPN
zašłosći,NOUN
zašłosć,NOUN
přitomnosći,NOUN
přitomnosć,NOUN
wón,PRON
zběra,VERB
zběrać,VERB
archiwěruje,VERB
archiwować,VERB
tomu,PRON
trěbne,ADJ
trěbny,ADJ
materialije,NOUN
materialija,NOUN
přihotuje,VERB
přihotować,VERB
wědomostne,ADJ
slědźenje,NOUN
spřistupnja,VERB
spřistupnić,VERB
zdobom,ADV
zjawnosći,NOUN
zjawnosć,NOUN
nimo,ADP
toho,PRON
interdisciplinarne,ADJ
interdisciplinarny,ADJ
slědźenja,NOUN
instituta,NOUN
na,ADP
aktualne,ADJ
aktualny,ADJ
połoženje,NOUN
wosebitosće,NOUN
wosebitosć,NOUN
přirunowanje,NOUN
małych,ADJ
mały,ADJ
rěčow,NOUN
kulturow,NOUN
europje,PROPN
europa,PROPN
wusměrjene,ADJ
wusměrjeny,ADJ
sobudźěłaćerjo,NOUN
sobudźěłaćer,NOUN
spytaja,VERB
spytać,VERB
kulturnu,ADJ
kulturny,ADJ
rěčnu,ADJ
rěčny,ADJ
praksu,NOUN
praksa,NOUN
we,ADP
woběmaj,NUM
wobaj,DET
łužicomaj,PROPN
ze,ADP
swojimi,DET
swój,DET
móžnosćemi,NOUN
móžnosć,NOUN
podpěrać,VERB
sydłom,NOUN
sydło,NOUN
wotnožku,NOUN
wotnožka,NOUN
choćebuzu,PROPN
choćebuz,PROPN
januarej,NOUN
januar,NOUN
wot,ADP
swobodneho,ADJ
swobodny,ADJ
stata,NOUN
stat,NOUN
sakska,PROPN
zhromadnje,ADV
krajom,NOUN
kraj,NOUN
braniborska,PROPN
wutworił,VERB
wutworić,VERB
po,ADP
