BadIndex	Word	Freq
101	a	13070
102	je	10497
103	w	9097
104	so	6041
105	wot	5759
106	na	5305
107	z	4162
108	su	4086
109	hač	4031
110	ze	4011
111	do	3744
112	swójby	3360
113	rostlinow	3199
114	rostlina	2641
115	lěće	2597
116	lěta	2012
117	ma	1988
118	jako	1873
119	W	1766
120	abo	1586
121	za	1438
122	tež	1430
123	cm	1392
124	wobydlerjow	1391
125	po	1383
126	při	1251
127	něhdźe	1187
128	we	1109
129	bě	1019
130	k	1018
131	Łopjena	1018
132	dołhosć	987
133	załožiło	899
134	Sydlišćo	855
135	měšćanske	827
136	prawa	826
137	bu	818
138	Stejnišćo	794
139	zo	776
140	mjez	737
141	Wopis	725
142	ród	711
143	jenož	708
144	mm	699
145	docpěwaja	695
146	kotrež	664
147	kaž	658
148	Po	656
149	přez	633
150	łopjena	613
151	Kćenja	600
152	kotryž	585
153	wysokosć	584
154	hišće	580
155	kotraž	558
156	docpěwa	547
157	Rosće	534
158	měješe	529
159	Leži	521
160	město	505
161	zwjetša	494
162	Wot	491
163	Rostlina	485
164	pak	472
165	Ma	469
166	Rozšěrjenje	468
167	m	464
168	ale	461
169	kćenja	455
170	nad	439
171	5	437
172	tysac	437
173	Wone	436
174	2	434
175	3	434
176	wjes	434
177	maja	430
178	steja	429
179	lětach	427
180	mjeno	427
181	tak	426
182	jeho	415
183	Płody	403
184	tym	402
185	łopješka	400
186	Serbow	399
187	Na	397
188	docpěja	396
189	toho	394
190	łaćonsce	389
191	Wón	375
192	10	370
193	1	367
194	Z	362
195	wo	355
196	štom	350
197	lětstotka	349
198	šěrokosć	344
199	běše	343
200	pod	339
201	Stawizny	336
202	–	329
203	kilometrow	322
204	pódy	322
205	słódkich	321
206	Poaceae	320
207	trawow	319
208	statistice	318
209	hižo	313
210	tuž	310
211	jara	307
212	rěč	306
213	dźěl	304
214	Wona	301
215	docpěje	295
216	boku	293
217	4	290
218	rostliny	285
219	wokoło	284
220	nimale	283
221	rěče	283
222	serbske	283
223	čas	281
224	často	281
225	to	280
226	juhu	278
227	Europje	274
228	Wužiwanje	274
229	Prěnje	272
230	hładźinu	272
231	leži	271
232	mórskej	271
233	Dalše	266
234	Při	266
235	15	265
236	30	264
237	wjace	261
238	wuchodźe	259
239	kerk	252
240	wón	251
241	města	250
242	zapadźe	250
243	Budyšin	248
244	naspomnjenje	246
245	wjele	245
246	meje	243
247	20	242
248	słuša	242
249	mjeztym	241
250	Mukowej	240
251	kónca	238
252	lět	238
253	dźeń	235
254	sewjeru	235
255	njesu	234
256	běchu	232
257	kosmate	232
258	prěni	232
259	1884	231
260	wsy	229
261	Nimo	228
262	pola	228
263	6	226
264	Susodne	225
265	serbski	225
266	stej	223
267	Jich	222
268	m.	222
269	nich	222
270	lětstotku	221
271	lěsach	218
272	gmejna	215
273	historiske	213
274	jeje	211
275	wjeski	208
276	dnjow	207
277	swójba	205
278	junija	202
279	wobydlerstwa	202
280	Kćěje	201
281	8	199
282	Za	199
283	sydło	199
284	rozšěrjena	198
285	čimž	198
286	protyki	197
287	tam	197
288	běłe	196
289	znutřka	196
290	gregorianiskeje	194
291	přestupnych	194
292	tři	194
293	1956	193
294	př	193
295	pozdźišo	192
296	wobsteji	192
297	Arnošt	191
298	dla	191
299	róžowych	191
300	wostawa	191
301	apryla	189
302	raz	189
303	Rosaceae	188
304	křižnokwětnych	188
305	někotrych	188
306	sydlišćo	187
307	naspomni	183
308	podźěl	183
309	rěči	183
310	oktobra	180
311	Hač	178
312	metrow	178
313	pochadźa	178
314	†	178
315	družina	177
316	dźensa	175
317	Łužicy	175
318	kromach	174
319	awgusta	173
320	ke	171
321	19.	170
322	předewšěm	169
323	družinow	168
324	septembra	167
325	gmejnje	166
326	Jeho	165
327	Preferuje	165
328	%).	164
329	před	162
330	We	161
331	kiž	161
332	měrca	161
333	%.	160
334	kraja	160
335	wužiwa	160
336	zelene	160
337	dołhe	159
338	druhim	158
339	dźělu	158
340	julija	158
341	podswójby	157
342	móže	155
343	namaka	154
344	łukach	154
345	razej	153
346	wosebje	153
347	7	152
348	Budyšinje	152
349	Króna	152
350	wobsahuje	152
351	Černik	152
352	pjeć	151
353	symjencowych	151
354	zwěsći	150
355	Cyperaceae	149
356	nimi	148
357	najwjetše	147
358	prěnjemu	147
359	Domowina	146
360	wulkosć	146
361	štyri	146
362	Jako	145
363	radšo	145
364	kotrychž	144
365	mjena	144
366	př.	144
367	njeje	143
368	by	142
369	hakle	142
370	někotre	142
371	Brasicaceae	141
372	Caryophyllaceae	141
373	nalikowych	141
374	Fabaceae	140
375	Jan	140
376	delnim	140
377	hdźež	140
378	jich	140
379	stołpikate	140
380	suchich	140
381	steji	139
382	łušćinowcow	139
383	płody	138
384	1.	137
385	cyłkownje	137
386	Přez	136
387	husto	134
388	wobydlerjemi	134
389	njese	133
390	přikład	133
391	Ruskeje	132
392	juhowuchodźe	132
393	potom	132
394	sewjerozapadźe	132
395	%)	131
396	buchu	131
397	jedyn	131
398	sewjerowuchodźe	131
399	słowa	131
400	12	130
401	družiny	130
402	najprjedy	130
403	strony	130
404	da	129
405	Žórła	129
406	16.	128
407	25	127
408	juhozapadźe	127
409	rězna	127
410	Wobydlerstwo	126
411	blisko	126
412	nakładnistwo	126
413	nimo	126
414	serbskich	126
415	zubate	126
416	18.	124
417	60	124
418	Dźensniše	124
419	rosće	124
420	wustupuje	124
421	2011	123
422	Wjes	123
423	kromje	123
424	rěčow	123
425	spódku	123
426	Němskej	122
427	jejkojte	122
428	Jeje	121
429	ludźi	121
430	40	120
431	dołho	120
432	gmejny	120
433	rěka	120
434	Město	119
435	južnej	119
436	trawnikach	119
437	wulke	119
438	decembra	118
439	km²	118
440	wona	118
441	wosadźe	118
442	zaso	118
443	załoži	118
444	Stołpik	117
445	bjez	117
446	januara	117
447	času	117
448	Ludowe	116
449	Němcow	116
450	druhe	116
451	kraj	116
452	dnja	115
453	přećiwo	115
454	němsce	114
455	tróšku	114
456	K	113
457	dwě	113
458	samostatna	113
459	serbskeho	113
460	zdźěla	113
461	1,5	111
462	Systematika	111
463	mjezy	111
464	nowembra	111
465	hranicy	110
466	městno	110
467	wójnje	110
468	łopješkow	110
469	17.	109
470	Je	109
471	Jurij	108
472	cyrkej	108
473	hornim	108
474	lěsnych	108
475	oblasći	108
476	de	107
477	druhich	107
478	dwaj	107
479	dósta	107
480	roda	107
481	Lamiaceae	105
482	Ranunculaceae	105
483	dokelž	105
484	von	105
485	žórłach	105
486	1945	104
487	Arnošta	104
488	Carex	104
489	Spermatophyta	104
490	cycawkowych	104
491	maslenkowych	104
492	sta	104
493	50	103
494	rěce	103
495	1880tych	102
496	Ale	102
497	Wšědna	102
498	třoch	102
499	lancetojte	101
500	słownik	101
501	starobje	100
502	žołte	100
503	20.	99
504	jednolětna	99
505	str.	99
506	tutym	99
507	1994	98
508	europskim	98
509	nic	98
510	srjedźnej	98
511	stat	98
512	wužiwaja	98
513	Budyšina	97
514	podroda	97
515	stołpiki	97
516	2006	96
517	Němskeje	96
518	februara	95
519	nahe	95
520	płaći	95
521	rěznow	95
522	swoje	95
523	wutkate	95
524	zdobom	95
525	hromadźe	94
526	kotrejž	94
527	rědko	94
528	syn	94
529	wapnite	94
530	wšě	94
531	štož	94
532	Tute	93
533	móžeja	93
534	owalne	93
535	přeco	93
536	wójny	93
537	lěću	92
538	pućach	91
539	słušeja	91
540	Tež	90
541	Wopisanje	90
542	suche	90
543	tu	90
544	znowa	90
545	15.	89
546	Podawki	89
547	běhu	89
548	formy	89
549	mjenom	89
550	mějachu	89
551	twori	89
552	dale	88
553	wjedźe	88
554	šěsć	88
555	2,5	87
556	Tak	87
557	krótko	87
558	prjedy	87
559	stołpik	87
560	Do	86
561	Mjeno	86
562	Orchidaceae	86
563	dźěći	86
564	jednym	86
565	orchidejowych	86
566	100	85
567	horjeka	85
568	morja	85
569	přećiwostejne	85
570	swójbje	85
571	swěće	85
572	1925	84
573	Europy	84
574	Krónowe	84
575	dwěmaj	84
576	samo	84
577	róžojte	83
578	sewjernej	83
579	12.	82
580	13.	82
581	kotrymž	82
582	spisowaćel	82
583	sydom	82
584	tute	82
585	čerwjene	82
586	Mjez	81
587	Někotre	81
588	Plantaginaceae	81
589	dźensnišeho	81
590	hałuzy	81
591	někak	81
592	nětko	81
593	přisłušeja	81
594	Geografija	80
595	Tam	80
596	cachorowowych	80
597	horinach	80
598	městnach	80
599	měsće	80
600	pomocu	80
601	spočatku	80
602	sylnje	80
603	wone	80
604	Čěskej	80
605	2002	79
606	běži	79
607	jedna	79
608	10.	78
609	14.	78
610	2004	78
611	Dla	78
612	dołhi	78
613	kćenjowe	78
614	kćěje	78
615	putnikowych	78
616	sewjernje	78
617	11.	77
618	Muki	77
619	Sakska	77
620	dwójce	77
621	kupy	77
622	swj	77
623	skupiny	76
624	wjacore	76
